CODE_VILLE,BPR,GENDER,MARITAL_STATUS,NOMBRE_ENFANT,CUSTOMER_RATING,TAILLE_ENTREPRI,age_client,label_code,label_nom,pack_actuel,pack_etat,solde_moyen,solde_min,nb_mois_observes_solde,depot_moyen,flux_cred_total,nb_mois_avec_flux,nb_operations_gab,montant_total_gab,montant_moyen_gab,nb_retraits,montant_total_retraits,nb_paiements_digitaux,montant_total_payfac,nb_vignettes_payees,montant_total_vignette,label_eligibilite,jamais_active_digital,jamais_utilise_gab,anciennete_digitale_jours_imp,recence_gab_jours_imp,nb_mois_observes_solde_etait_extreme,NOMBRE_ENFANT_etait_extreme,solde_moyen_etait_extreme,solde_min_etait_extreme,solde_max_etait_extreme,depot_moyen_etait_extreme,flux_cred_moyen_etait_extreme,flux_cred_total_etait_extreme,montant_total_gab_etait_extreme,montant_moyen_gab_etait_extreme,montant_total_retraits_etait_extreme,montant_total_payfac_etait_extreme,montant_total_vignette_etait_extreme,solde_volatilite_indefinie,solde_volatilite_relative_imp
341,81,M,1,0,SVC,PARTICULIER,33,,,PCNS0,W,2556.1808333333333,2.05,24,1511.1076,17330.15,9,21,0.0,0.0,73,22700.0,146,3635.37,0,0.0,0.0,0,0,3704,665,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,3.0575771080358494
590,45,F,4,4,SVC,PARTICULIER,58,,,PCNS0,W,37.01176470588235,0.0,34,52.408,35623.15,14,10,1.44,0.144,31,34800.0,0,0.0,0,0.0,0.0,1,0,2561,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.552161474888748
519,50,M,1,0,SVC,PARTICULIER,42,,,PLOCI,W,-1978.6945833333336,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,3766,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
810,81,F,3,0,SIL,PARTICULIER,35,,,PLOC1,W,1822.3049999999996,-44.28,24,45272.472928571435,95132.0,13,5,0.0,0.0,19,36400.0,12,1188.0,0,0.0,0.0,0,0,4157,669,0,0.0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0,6.112110760822148
270,27,M,1,0,SVC,PARTICULIER,31,,,PJUN9,W,-1190.5666666666668,-1033.2150000000001,24,388.0,964.89,1,2,0.0,0.0,0,0.0,4,40.0,0,0.0,0.0,0,0,4061,773,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
780,78,F,1,0,SIL,PARTICULIER,36,,,SANS_PACK,SANS_ETAT,840.0876666666667,0.0,36,27063.972200000004,31560.0,7,0,0.0,0.0,1,1000.0,35,4348.650000000001,0,0.0,0.0,0,1,2598,699,1,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,12.007330187365366
780,78,M,1,0,SVC,PARTICULIER,33,,,PLOC1,W,11991.520227272727,0.0,36,14649.628000000002,27000.0,9,1,0.0,0.0,12,13900.0,0,0.0,0,0.0,0.0,0,0,3430,1025,1,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,3.0176332370020034
761,01,M,1,0,FNC,PARTICULIER,36,,,PLOF1,W,15962.873749999999,73.47,24,14593.9076,116002.34999999998,13,7,0.0,0.0,35,67000.0,0,0.0,0,0.0,0.0,1,0,2561,660,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.12502902242148
780,78,M,1,0,SVC,PARTICULIER,31,,,PLOCI,W,-3090.7937499999994,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
640,64,M,1,0,SVC,PARTICULIER,36,,,PLOCI,W,-411.1275,-635.95,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,4157,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
